sentence#,words,pos,ner
0,रोल्पा,NN,B-LOC
0,का,IKO,O
0,जंकोट,NN,B-LOC
0,कोटगाँउ,NN,I-LOC
0,भावाङ,NN,I-LOC
0,कुरेल्मी,NN,I-LOC
0,मिरुल,NN,I-LOC
0,इखिङ,NN,I-LOC
0,पाछावाङ,NN,I-LOC
0,घोडागाँस,NN,I-LOC
0,खंग्री,NN,I-LOC
0,गा.,NN,O
0,बि.,FB,O
0,स.,FB,O
0,मा,II,O
0,व्यापक,JX,O
0,काँग्रेसी,JX,O
0,गुण्डागर्दी,NN,O
0,र,CC,O
0,आतङ्क,NN,O
0,फैलिए,NN,O
0,को,IKM,O
0,छ,VVYN1,O
0,।,YF,O
1,उन,DDX,O
1,ले,IE,O
1,पार्टी,NN,O
1,सभापति,NN,O
1,तथा,CC,O
1,प्रधानमन्त्री,NN,O
1,कोइराला,NP,B-PER
1,को,IKM,O
1,आग्रह,NN,O
1,मा,II,O
1,दौरा,NN,O
1,सुरुवाल,NN,O
1,र,CC,O
1,टोपी,NN,O
1,लगाएर,VQ,O
1,राष्ट्रपति,NN,O
1,पद,NN,O
1,को,IKM,O
1,शपथ,NN,O
1,लिए,VE,O
1,।,YF,O
2,उन,DDX,O
2,ले,IE,O
2,असम,NN,B-LOC
2,का,IKO,O
2,खेलाडी,NN,O
2,लाई,IA,O
2,प्रहार,NN,B-ORG
2,गरे,VE,O
2,को,IKM,O
2,नकआउट,NN,O
2,पन्ध्रौँ,NN,O
2,हो,VVYN1,O
2,।,YF,O
3,अहि,NN,O
3,ले,IE,O
3,राखेप,NN,B-ORG
3,को,IKM,O
3,दैनिक,JX,O
3,कामकाज,NN,O
3,को,IKM,O
3,जिम्मे,NN,O
3,वारी,NN,O
3,मन्त्रालयल,NN,O
3,का,IKO,O
3,सचिव,NN,O
3,श्याम,NP,B-PER
3,मैनाली,NP,I-PER
3,ले,IE,O
3,पाए,VE,O
3,का,IKO,O
3,छन्,VVYX2,O
3,।,YF,O
4,आँखिर,NN,O
4,मा,II,O
4,जति,DJX,O
4,फूर्ति,NN,O
4,गरे,VE,O
4,पनि,TT,O
4,गिरिजा,NP,B-PER
4,सरकार,NN,O
4,ले,IE,O
4,घुँडा,NN,O
4,टेक्न,VI,O
4,करै,RR,O
4,लाग्यो,VVYN1,O
4,कर्मचारी,NN,O
4,आन्दोलन,NN,O
4,केही,MM,O
4,होईन,VVYN1,O
4,भन्दा,II,O
4,भन्दै,VDX,O
4,यस,DDX,O
4,लाई,IA,O
4,दबाउन,VI,O
4,सरकार,NN,O
4,ले,IE,O
4,अनेक,JX,O
4,हथकण्डा,NN,O
4,अपनाउनु,VI,O
4,पर्यो,VVYN1,O
4,।,YF,O
5,अब,RD,O
5,नेपाल,NP,B-LOC
5,मा,II,O
5,बा,NN,O
5,की,IKF,O
5,रहे,VE,O
5,का,IKO,O
5,नानीचेली,NN,O
5,हरूलाई,NN,O
5,पनि,TT,O
5,त,TT,O
5,पैसो,NN,O
5,कमाउने,VN,O
5,जोहो,NN,O
5,मिलाउनुपर्यो,NN,O
5,।,YF,O
6,बीपी,NN,B-LOC
6,राजमार्ग,NN,I-LOC
6,कै,IKX,O
6,करकरे,NN,B-LOC
6,र,CC,O
6,भिमान,NN,B-LOC
6,मा,II,O
6,समेत,TT,O
6,यातायात,NN,O
6,का,IKO,O
6,साधन,NN,O
6,रोकिए,NN,O
6,का,IKO,O
6,छन्,VVYX2,O
6,।,YF,O
7,काठमाडौं,NP,B-LOC
7,मा,II,O
7,हजारौं,MM,O
7,संघसंस्था,NN,O
7,बहाल,NN,O
7,मा,II,O
7,बसे,VE,O
7,का,IKO,O
7,छन्,VVYX2,O
7,तर,CC,O
7,जम्,NN,O
7,मा,II,O
7,वटा,MLO,O
7,संस्था,NN,O
7,ले,IE,O
7,मात्र,TT,O
7,बहाल,NN,O
7,कर,NN,O
7,तिरे,NN,O
7,का,IKO,O
7,छन्,VVYX2,O
7,।,YF,O
8,पश्चिम,NN,B-LOC
8,कुशाह,NN,I-LOC
8,मा,II,O
8,फुटे,NN,O
8,को,IKM,O
8,तटबन्ध,NN,O
8,पुग्न,VI,O
8,अघि,RR,O
8,नदीछेउ,NN,O
8,मा,II,O
8,कोसी,NN,B-LOC
8,नदी,NN,O
8,रसिाइन्,NN,O
8,र,CC,O
8,तिन,DDX,O
8,लाई,IA,O
8,खुसी,JX,O
8,पार्नुपर्यो,NN,O
8,भन्दै,VDX,O
8,नदी,NN,O
8,को,IKM,O
8,पूजा,NN,O
8,गररिहे,NN,O
8,का,IKO,O
8,महिला,NN,O
8,हरू,IH,O
8,भेटिए,VE,O
8,।,YF,O
9,वैशाख,NN,O
9,बाट,II,O
9,झाडापखाला,NN,O
9,बाट,II,O
9,जाजरकोट,NN,B-LOC
9,हरूमा,NN,O
9,मान्छे,NN,O
9,मर्न,VI,O
9,थाले,VE,O
9,को,IKM,O
9,खबर,NN,O
9,ले,IE,O
9,गृह,NN,B-ORG
9,मन्त्रालय,NN,I-ORG
9,स्वास्थ्य,NN,O
9,तथा,CC,O
9,रक्षा,NN,O
9,र,CC,O
9,मन्त्रिपरिषद्,NN,B-ORG
9,को,IKM,O
9,सचिवालय,NN,O
9,त्यसैवेला,NN,O
9,झ,NN,O
9,संग,II,O
9,हुनु,VI,O
9,पर्ने,VN,O
9,थियो,VVYN1,O
9,सायद,NN,O
9,भए,VE,O
9,पनि,TT,O
9,होलान्,VVYX2,O
9,र,CC,O
