sentence#,word,pos,ner
sentence: 1,0,CD,I-MISC
,पृष्ठभूमि,NN,O
,:,YM,O
,विश्व,NN,O
,का,PKO,O
,आदिवासी,NN,O
,हरू,HRU,O
,को,PKO,O
,भावना,NN,O
,र,CC,O
,माग,NN,O
,बमोजिम,POP,O
,अष्ट्रिया,NN,B-LOC
,को,PKO,O
,राजधानी,NN,O
,भीयना,NN,B-LOC
,मा,POP,O
,सन्,NN,B-MISC
,1993,CD,I-MISC
,जून,NN,I-MISC
,25,CD,B-MISC
,मा,POP,O
,सम्पन्न,JJ,O
,विश्व,NN,O
,मानव,NN,O
,अधिकार,NN,O
,सम्मेलन,NN,O
,को,PKO,O
,घोषणा,NN,O
,पत्र,NN,O
,ले,PLE,O
,आदिवासी-जनजाति,NN,O
,को,PKO,O
,हक,NN,O
,का,PKO,O
,सम्बन्ध,NN,O
,मा,POP,O
,निर्माण,NN,O
,गरे,VBF,O
,को,PKO,O
,सामान्य,JJ,O
,सिद्धान्त,NN,O
,र,CC,O
,अन्तर्राष्ट्रिय,JJ,O
,दशक,NN,O
,कार्यक्रमअनुरूप,NN,O
,सन्,NN,B-MISC
,1993,CD,I-MISC
,डिसेम्बर,NN,I-MISC
,21,CD,B-MISC
,का,PKO,O
,दिन,NN,O
,संयुक्त,JJ,B-LOC
,राष्ट्र,NN,I-LOC
,संघ,NN,I-LOC
,को,PKO,O
,साधारण,JJ,O
,सभा,NN,O
,ले,PLE,O
,सन्,NN,B-MISC
,1994,CD,I-MISC
,को,PKO,O
,डिसेम्बर,NN,I-MISC
,10,CD,B-MISC
,तारेख,NN,O
,देखि,POP,O
,"""",YQ,O
,विश्व,NN,O
,आदिवासी,NN,O
,अन्तर्राष्ट्रिय,JJ,O
,दशक,NN,O
,"""",YQ,O
,घोषणा,NN,O
,गरे,VBF,O
,को,PKO,O
,",",YM,O
,राष्ट्र,NN,B-LOC
,संघ,NN,I-LOC
,ले,PLE,O
,राष्ट्र,NN,O
,संघीय,JJ,O
,प्रणाली,NN,O
,मा,POP,O
,आदिवासी,NN,O
,को,PKO,O
,स्थायी,JJ,O
,मंच,NN,O
,स्थापना,NN,O
,गर्ने,VNE,O
,भए,VBF,O
,को,PKO,O
,",",YM,O
,साथै,NN,O
,",",YM,O
,सन्,NN,B-MISC
,1994,CD,I-MISC
,को,PKO,O
,1,CD,B-MISC
,जनवरी,NN,I-MISC
,देखि,POP,O
,9,CD,B-MISC
,डिसेम्बर,NN,I-MISC
,सम्म,POP,O
,आदिवासी-जनजाति,NN,O
,को,PKO,O
,साझेदारी,NN,O
,मा,POP,O
,अन्तर्राष्ट्रिय,JJ,O
,दशक,NN,O
,का,PKO,O
,लागि,POP,O
,तयारी,NN,O
,गर्ने,VNE,O
,अवधि,NN,O
,छुट्याए,VBF,O
,को,PKO,O
,र,CC,O
,दशक,NN,O
,को,PKO,O
,कार्ययो,VBF,O
,जना,CL,O
,बनाउने,VNE,O
,दृष्टि,NN,O
,ले,PLE,O
,आगामी,JJ,O
,जु,NN,B-MISC
,लाई,PLAI,I-MISC
,महिना,NN,I-MISC
,मा,POP,O
,जेनेभा,NN,B-LOC
,मा,POP,O
,प्राविधिक,JJ,O
,बैठक,NN,O
,बस्ने,VNE,O
,भए,VBF,O
,को,PKO,O
,सन्दर्भ,NN,O
,मा,POP,O
,नेपाल,NNP,B-LOC
,का,PKO,O
,आदिवासी,NN,O
,हरू,HRU,O
,का,PKO,O
,तर्फ,POP,O
,बाट,POP,O
,कार्यक्रम,NN,O
,",",YM,O
,योजना,NN,O
,र,CC,O
,सुझाव,NN,O
,पठाउनु,VBI,O
,समयोचित,JJ,O
,हुने,VNE,O
,",",YM,O
,आदिवासी-जनजाति,NN,O
,को,PKO,O
,अधिकार,NN,O
,बारे,POP,O
,विश्व,NN,O
,घोषणापत्र,NN,O
,को,PKO,O
,मस्यौदा,NN,O
,तयार,JJ,O
,भइसके,VBF,O
,को,PKO,O
,र,CC,O
,त्यस,DUM,O
,प्रति,POP,O
,जनचेतना,NN,O
,जगाई,VBO,O
,नेपाल,NNP,B-LOC
,का,PKO,O
,आदिवासी,NN,O
,हरू,HRU,O
,को,PKO,O
,दृष्टिकोण,NN,O
,र,CC,O
,सुझाव,NN,O
,तयार,JJ,O
,पार्नु,VBI,O
,आवश्यक,JJ,O
,भए,VBF,O
,को,PKO,O
,",",YM,O
,र,CC,O
,विश्व,NN,O
,आदिवासी,NN,O
,अन्तर्राष्ट्रिय,JJ,O
,वर्ष,NN,O
,-,YM,O
,1993,CD,I-MISC
,",",YM,O
,राष्ट्रिय,JJ,O
,समिति,NN,O
,",",YM,O
,नेपाल,NNP,B-LOC
,को,PKO,O
,आयोजना,NN,O
,मा,POP,O
,यही,DUM,O
,2050,CD,I-MISC
,पौष,NN,I-MISC
,24,CD,B-MISC
,र,CC,O
,25,CD,B-MISC
,गते,NN,I-MISC
,सम्पन्न,JJ,O
,"""",YQ,O
,नेपाल,NNP,B-LOC
,का,PKO,O
,आदिवासी,NN,O
,र,CC,O
,अन्तर्राष्ट्रिय,JJ,O
,वर्ष,NN,I-MISC
,-,YM,O
,1993,CD,B-MISC
,"""",YQ,O
,विषयक,JJ,O
,दुईदिने,JJ,O
,समीक्षा,NN,O
,गोष्ठी,NN,O
,ले,PLE,O
,यो,DUM,O
,समिति,NN,O
,लाई,PLAI,O
,आवश्यक,JJ,O
,पुनर्गठनसहित,JJ,O
,अन्तर्राष्ट्रिय,JJ,O
,दशक,NN,O
,समिति,NN,O
,मा,POP,O
,परिवर्तन,NN,O
,तथा,CC,O
,दशक,NN,O
,का,PKO,O
,लागि,POP,O
,कार्ययो,VBF,O
,जना,CL,O
,बनाउन,VBI,O
,गोष्ठी,NN,O
,गर्नुपर्ने,VNE,O
,सुझाव,NN,O
,दिए,VBF,O
,को,PKO,O
,र,CC,O
,नेपाल,NNP,B-LOC
,का,PKO,O
,आदिवासी,NN,O
,हरू,HRU,O
,को,PKO,O
,साझा,JJ,O
,समस्या,NN,O
,पहिचान,NN,O
,र,CC,O
,समाधान,NN,O
,का,PKO,O
,लागि,POP,O
,आदिवासी,NN,O
,हरू,HRU,O
,को,PKO,O
,(,YB,O
,चाहना,NN,O
,),YB,O
,भावना,NN,O
,र,CC,O
,दृष्टिकोण,NN,O
,लाई,PLAI,O
,उच्चतम,JJD,O
,प्राथमिकता,NN,O
,दिएर,VBO,O
,साझा,JJ,O
,कार्यक्रम,NN,O
,सञ्चालन,NN,O
,गर्न,VBI,O
,नीति,NN,O
,निर्देशन,NN,O
,र,CC,O
,दशवर्षे,NN,O
,कार्ययो,VBF,O
,जना,CL,O
,बनाइनुपर्ने,NN,O
,आवश्यकता,NN,O
,महशुस,NN,O
,गरे,VBF,O
,को,PKO,O
,",",YM,O
,आदि,RBM,O
,परिप्रेक्ष्य,NN,O
,मा,POP,O
,एशिया,NNP,B-ORG
,आदिवासी,NN,I-ORG
,संस्था,NN,I-ORG
,(,YB,O
,ए.,FB,O
,आइ.,FB,O
,पी.,FB,O
,पी.,FB,O
,),YB,O
,को,PKO,O
,सहयोग,NN,O
,मा,POP,O
,स्थानीय,JJ,O
,आयोजक,NN,O
,भई,VBO,O
,यो,DUM,O
,चारदिने,NN,B-MISC
,"""",YQ,O
,नेपाल,NNP,B-LOC
,का,PKO,O
,आदिवासी,NN,O
,हरू,HRU,O
,को,PKO,O
,राष्ट्रिय,JJ,O
,परामर्श,NN,O
,गोष्ठी,NN,O
,"""",YQ,O
,(,YB,O
,2050,CD,I-MISC
,चैत्र,NN,I-MISC
,",",YM,O
,10,CD,B-MISC
,",",YM,O
,11,CD,B-MISC
,",",YM,O
,12,CD,B-MISC
,र,CC,O
,13,CD,B-MISC
,गते,NN,O
,),YB,O
,सञ्चालन,NN,O
,गरिए,VBF,O
,को,PKO,O
,थियो,VBF,O
,।,YF,O
sentence: 2,आदिवासी,NN,O
